INCHI,SMILES,IC50,pIC50
WXFJAWWXWDNJPZ-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccc(C(=O)OC(C)Cn2c([N+](=O)[O-])cnc2C)cc1,18890,4.723768042
BUPWPQSTALKSKT-UUILKARUSA-N,O=C1CSC(N/N=C/c2cc(Br)ccc2O)=N1,420,6.37675071
AHONPWLSTJWLMC-UHFFFAOYSA-N,CCC(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)cc3)ncnc2cc1OC,815,6.088842391
NWZQTNDYDHXMOE-DHZHZOJOSA-N,CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,12,7.920818754
JXCTYPYGAYAMDH-IZZDOVSWSA-N,FC(F)(F)c1ccc(/C=C/c2nc(Cn3ccc4cc(-c5cccc(Cl)c5)ccc43)co2)cc1,2250,5.647817482
XFZZOYBVFSUOKN-UHFFFAOYSA-N,Cc1cc(Nc2ncnc3cnc(N(C)C)cc23)ccc1OC1CCN(C(=O)CC(C)(C)C)CC1,51,7.292429824
IGJWJUSLCTWOTR-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(C(F)(F)F)cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,510,6.292429824
CJGPKVRBUPRPTR-UHFFFAOYSA-N,COc1cc(Nc2ncnc3ccc(-c4ccc(CNCCS(C)(=O)=O)o4)cc23)ccc1OCc1cccc(F)c1,90,7.045757491
SCPXIXAJVMGIOW-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncn(C)c(=O)c23)c1,146,6.835647144
PDHPVHXAEDIWBQ-UHFFFAOYSA-N,O=C1NCc2cc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)ccc21,18,7.744727495
CBNJCHVHBCJGBE-RMKNXTFCSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCC(O)(O)CC1,58,7.236572006
AQOVRLPHUSWQJQ-UHFFFAOYSA-N,Cc1cccc(CN(Cc2ccc(F)cc2)C(=S)Nc2ccccc2)c1O,15660,4.805208242
QIHBCJUYVFGGLJ-UXBLZVDNSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/Cc1c[nH]cn1,69,7.161150909
MJWAOOZOZOALNY-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(OC(c5ccccc5)c5ccccc5)cc4)c23)c1,26,7.585026652
GVYWQBRKNKWGFU-KPKJPENVSA-N,COc1cccc(-c2ccc3c(ccn3Cc3coc(/C=C/c4ccc(C(F)(F)F)cc4)n3)c2)c1,3250,5.488116639
ZVDWZJCNOLVONI-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(NC(=O)C(c5ccccc5)N5Cc6ccccc6C5=O)cc4)c23)c1,43,7.366531544
NYRHVFBFQMTSLO-SOFGYWHQSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,269,6.57024772
ITVLSWHERKANSP-RWINEGRVSA-N,COC[C@H]1CCCN1/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,72,7.142667504
FPJGDXKFEYENFB-UHFFFAOYSA-N,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)ccc1OC(C)COC,14,7.853871964
XQWATEKYOOFROO-UHFFFAOYSA-N,Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,44,7.356547324
XCIKLSSUHGYTCI-UHFFFAOYSA-N,Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ccccn3)cc2Cl)c1,55,7.259637311
