INCHI,SMILES,IC50,pIC50
MEHRBVQTOVMMDP-UHFFFAOYSA-N,NC(=O)COCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,110,6.958607315
UZGXHZBWNFJHQD-UHFFFAOYSA-N,CS(=O)(=O)CCC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,32,7.494850022
KHBZUTKCIKDFSN-LFYBBSHMSA-N,O=C1CSC(N/N=C/c2ccc(Cl)cc2)=N1,2750,5.560667306
LHTLRFBWZSNCGA-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)c1,12,7.920818754
GASRAFPOGFLNOD-UHFFFAOYSA-N,C=C(CN1CCOCC1)C(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,89,7.050609993
FAEABHLBQFONPS-ZRDIBKRKSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/c1cn(C)cn1,227,6.643974143
TURWKCNNQKWOTA-UHFFFAOYSA-N,O=C(C#CCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,300,6.522878745
VIANWBJPMVJZPN-UHFFFAOYSA-N,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,0.7,9.15490196
HNWMWIVFQFTJOX-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(OC(c5ccccc5)c5ccccc5)cc4)c23)c1,4.5,8.346787486
SXHXSFDRRRWGRB-UHFFFAOYSA-N,O=C1NCc2ccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cc21,1.3,8.886056648
NBVZPICHNRCCJN-UHFFFAOYSA-N,Cc1cc(C)c(O)c(CN(Cc2ccc(O)cc2)C(=O)Nc2ccccc2)c1,16120,4.792634963
ZVDGUFJKSDBCDL-LFYBBSHMSA-N,O=C1CSC(N/N=C/c2ccc(F)cc2)=N1,3890,5.410050399
YDACLKUOFPGAGO-UHFFFAOYSA-N,COc1cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1CN1CCCNCC1,170,6.769551079
UWERUQQBFCQSFI-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(C(F)(F)F)cc2)CC1c1ccc(C(=O)OC(C)Cn2c([N+](=O)[O-])cnc2C)cc1,5620,5.250263684
FRQFIGQZHAECJO-FNORWQNLSA-N,COc1cc2ncc(C#N)c(Nc3ccc(NCc4cccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,3900,5.408935393
APBCLSCKMPCKMF-UHFFFAOYSA-N,Oc1ccc(CN(Cc2cc(Cl)cc(Cl)c2O)C(=S)Nc2ccccc2)cc1,1230,5.910094889
HCONVOOBXMEDII-UHFFFAOYSA-N,FC(F)(F)Oc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,55,7.259637311
UTHCWAKCUYYOJY-AATRIKPKSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccc(F)cc4F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,81,7.091514981
WIFWLMOAXXFDDO-LFYBBSHMSA-N,O=C1CSC(N/N=C/c2cccc(Cl)c2)=N1,14340,4.843450849
ARTXCXRRTXRAOJ-UHFFFAOYSA-N,COc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,1450,5.838631998
QWYNDGPXFFALKC-UXBLZVDNSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCC1,40,7.397940009
UJDNKFDRJWNSEG-UHFFFAOYSA-N,O=C1CSC(N2N=C(c3ccc(Br)cc3)CC2c2ccc(Cl)cc2)=N1,5870,5.231361899
PWQAYVPGWSRNKH-UHFFFAOYSA-N,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1Cl,1020,5.991399828
NKYZLAFGFAJBIY-UHFFFAOYSA-N,Cc1cc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)ccc1OC1CCN(C(=O)CC(C)(C)C)CC1,75,7.124938737
JZWRJCKVZCYRLF-UHFFFAOYSA-N,[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(C(F)(F)F)c5)c4c3)o2)CC1,141,6.850780887
WUZJUVCMTGFTDE-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(I)cc2)CC1c1ccc(C(=O)OC(C)Cn2c([N+](=O)[O-])cnc2C)cc1,12660,4.897566294
GFPQRHXCPZSHRH-SOFGYWHQSA-N,COc1cc2ncnc(Nc3ccc(Cc4ccccn4)cc3)c2cc1NC(=O)/C=C/CN1CCCC1,413,6.384049948
FFMBLUIQUJAMEE-UHFFFAOYSA-N,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)ccc1OCCN(C)C,15,7.823908741
ZNRSOAIMVVRTJR-UHFFFAOYSA-N,C=CC(=O)Nc1cc2c(Nc3ccc(Oc4cc5nncn5cn4)c(C)c3)ncnc2cc1OCC,1.93,8.714442691
DRTZXIIFBAIOBW-UHFFFAOYSA-N,Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3cccnc3)cc2Cl)c1,140,6.853871964
HEWAOSRCHKDFBK-UHFFFAOYSA-N,C=C(CNc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC)C(=O)O,3781,5.422393323
BMAOWXTVCYAPFY-JXMROGBWSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCN(C)CC1,540,6.26760624
ONQVMCPUHNXZRV-UHFFFAOYSA-N,O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccc(F)cc1,16260,4.788879459
JCPYWYVSOPJWKF-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(OC(=O)C(c5ccccc5)N5Cc6ccccc6C5=O)cc4)c23)c1,13,7.886056648
LJZIMCVKWDQQNE-UHFFFAOYSA-N,Cc1cc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)ccc1OC1CCN(C(=O)Nc2c(F)cccc2F)CC1,55,7.259637311
AMPJVHBLKDNTBD-UHFFFAOYSA-N,O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cccc(Br)c1O,2660,5.575118363
QUMXZLSLZVWESB-UHFFFAOYSA-N,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,110,6.958607315
KKWBRQPIXLDPAR-UHFFFAOYSA-N,Cc1cc(Nc2ncnc3cnc(N4CCOCC4)cc23)ccc1Oc1ccc(C(=O)NCC(C)(C)C)cc1,21,7.677780705
NVTIQCRSEMKCEN-UHFFFAOYSA-N,CS(=O)(=O)CCN(Cc1ccccc1)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,141,6.850780887
YYNUBPUXFJKWOK-UHFFFAOYSA-N,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,4.1,8.387216143
HQXNBLABUXMVOL-SNAWJCMRSA-N,Cc1cc(Nc2c(C#N)cnc3ccc(NC(=O)/C=C/CN(C)C)cc23)ccc1Oc1cc2nncn2cn1,62.26,7.205790884
OMYOVWAUIIJSPG-UHFFFAOYSA-N,C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,2.4,8.619788758
XFUGKGRUXXJRJA-UHFFFAOYSA-N,CS(=O)(=O)CCNC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,190,6.721246399
XGYONXNDSMGIDL-UHFFFAOYSA-N,Cc1ccc(C2CC(c3ccc(Cl)cc3)=NN2C2=NC(=O)CS2)cc1,8130,5.089909454
CXDUFDRGOOEEHL-UHFFFAOYSA-N,CCC(=O)Nc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OC,458,6.339134522
HLVUTYRQJVXXMA-AATRIKPKSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(Oc4ccncc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,8100,5.091514981
YVHIBMWTWVBAAS-UHFFFAOYSA-N,OCCNC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,31,7.508638306
PUZHSTYINGQJHB-UHFFFAOYSA-N,O=C1CSC(NN=C2CCCCCCC2)=N1,31000,4.508638306
OSNPLDLPFDTALJ-UHFFFAOYSA-N,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccnc4)c3)c12,250,6.602059991
OCOAWZRMFFUFOR-SNAWJCMRSA-N,COc1cc2ncc(C#N)c(Nc3ccc(-n4ccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,800,6.096910013
ADGFMMGNBWOIFL-UHFFFAOYSA-N,Cc1cccc(CN(Cc2ccc(O)cc2)C(=O)Nc2ccccc2)c1O,18430,4.734474665
BGBLLHLHSYVTAD-WUXMJOGZSA-N,COc1cccc(/C=N/NC2=NC(=O)CS2)c1,45510,4.341893164
NERXPXBELDBEPZ-RMKNXTFCSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,33,7.48148606
RGWCDYFHPBVQSW-WFAPNNQUSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)NC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,966,6.015022874
ZJEZFXHLOYIZAT-UHFFFAOYSA-N,Oc1ccc(CN(Cc2cc(Br)cc(Br)c2O)C(=S)Nc2ccccc2)cc1,2240,5.649751982
AMGFBSMVLAHKRN-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(F)cc2)CC1c1ccc(C(=O)OC(C)Cn2c([N+](=O)[O-])cnc2C)cc1,8540,5.068542129
BHZWACACNOOTKB-UHFFFAOYSA-N,[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)CC1,18,7.744727495
ZFTKFOAKOQEOAJ-UHFFFAOYSA-N,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,1280,5.89279003
XYMFZAWLOAIXSJ-UHFFFAOYSA-N,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,1460,5.835647144
ABLXXKUDDSMAHU-UHFFFAOYSA-N,OCCNCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.7,8.113509275
OSBNTMYQLUCHOK-UHFFFAOYSA-N,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,2.1,8.677780705
NPLNGNUAEBHRJI-UHFFFAOYSA-N,COc1ccc(C2=NN(C(C)=O)C(c3ccc(C(=O)OCCn4c([N+](=O)[O-])cnc4C)cc3)C2)cc1,17250,4.763210901
YOLVGSGGIWJSLQ-UHFFFAOYSA-N,CCC(=O)Nc1cc2c(Nc3ccc4c(ccn4Cc4ccco4)c3)ncnc2cc1OC,782,6.106793247
QJDZBJMJPZWLKU-UHFFFAOYSA-N,O=C1CSC(N2N=C(c3ccc(Br)cc3)CC2c2ccc(F)cc2)=N1,8140,5.089375595
WUPUQIUJIDRWAX-UHFFFAOYSA-N,Cc1cncc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCC(N)CC6)c45)ccc32)c1,13,7.886056648
NTCNXENEFGFCKG-JXMROGBWSA-N,FC(F)(F)c1ccc(/C=C/c2nc(CNc3ccccc3Cl)co2)cc1,2790,5.554395797
JEASCNMPAUREFQ-RMKNXTFCSA-N,FC(F)(F)c1ccc(/C=C/c2nc(CNc3cccc(Cl)c3)co2)cc1,2010,5.696803943
ASXBFKMZPZRWDW-RMKNXTFCSA-N,CCOc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCC1,10,8
VTXQTIHBNGSDQB-UHFFFAOYSA-N,O=C1CSC(N2N=C(c3ccc(Cl)cc3)CC2c2ccccc2)=N1,7050,5.151810883
KTFFJRYMJYJAJY-DHZHZOJOSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccc(OCc5ccccc5)cc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,3775,5.423083044
BIHVFACLXYTHDA-UHFFFAOYSA-N,C=CS(=O)(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,61,7.214670165
JFEKMLAOHVYFGS-UHFFFAOYSA-N,[O-][S+](CCO)CCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,12,7.920818754
AZDCMGDGNHSVCZ-UHFFFAOYSA-N,Cn1ccnc1S(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1,26,7.585026652
GLSOBAXGEXVXAA-DHZHZOJOSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,281,6.55129368
JLWZRGNJHZVVKD-FNORWQNLSA-N,O=C(/C=C/CN1CCCC1)Nc1cc2c(Nc3ccc(Cc4ccccn4)cc3)ncnc2cn1,17,7.769551079
YYRLRYVLVLGRLU-UHFFFAOYSA-N,COc1ccc(C2=NN(C(N)=S)C(c3ccc4ccccc4c3)C2)cc1,3280,5.484126156
HGQXZYPOEYQQSH-UHFFFAOYSA-N,O=C1Cc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c2N1,1.5,8.823908741
WCVWWGMNEYDXSB-UHFFFAOYSA-N,c1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,1890,5.723538196
WJGBEIOIHHBCIV-RRSRKQOQSA-N,CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN1[C@H](C)CNC[C@@H]1C,198,6.70333481
HTIFVTQSFKUCDX-UHFFFAOYSA-N,CS(=O)(CCNCc1oc(c(cc2)cc3c2ncnc3Nc4cc(Cl)c(OCc5ccccc5)cc4)cc1)=O,16,7.795880017
WFADQLXGYLZEED-UHFFFAOYSA-N,Cc1ccc(C2=NN(C(N)=S)C(c3cccc4ccccc34)C2)cc1,6680,5.175223538
OQVSAKUFJLVWSE-UHFFFAOYSA-N,Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccccc3)C2)cc1,2240,5.649751982
ZFSARQGLTKFTDV-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(Br)cc2)cc1,20330,4.691862621
WJWDSZSWGLMXLC-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(F)cc2)cc1,10530,4.977571629
BVBMTEPFJRTLEL-KBKYJPHKSA-N,CN(C)/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,2,8.698970004
TVQHGTHLBVLBIA-UHFFFAOYSA-N,O=C(C#CCO)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,2.1,8.677780705
HADVGAWGEIOCTD-UHFFFAOYSA-N,NC(=S)N1N=C(c2ccc(Br)cc2)CC1c1ccc2ccccc2c1,1210,5.91721463
OQCSFFGUVREAKY-UHFFFAOYSA-N,CCOc1ccc(C2=NN(C(C)=O)C(c3ccc(C(=O)OCCn4c([N+](=O)[O-])cnc4C)cc3)C2)cc1,14930,4.825940192
GSDQZJWVOBCWHP-UHFFFAOYSA-N,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5[nH]ccc45)c(Cl)c3)c21,2.5,8.602059991
MTHDVQYDQJZAFB-UHFFFAOYSA-N,O=S(=O)(CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)c1ccccc1,30,7.522878745
HSYMTXUHTDJFRK-UHFFFAOYSA-N,CCCCN(Cc1cc(Cl)cc(Cl)c1O)C(=S)Nc1ccccc1,39780,4.400335221
GDOJCYYTUJELBC-MDZDMXLPSA-N,CCCCCOc1ccc(Nc2c(C#N)cnc3cc(OCC)c(NC(=O)/C=C/CN(C)C)cc23)cc1Cl,1477,5.830619505
OSILTYUNNGSKAC-UHFFFAOYSA-N,O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccc(Cl)cc1,13320,4.875495775
PEOYVSCYYMEJBB-UHFFFAOYSA-N,CCCCC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,5.4,8.26760624
JEQABWAFHZXXLZ-UHFFFAOYSA-N,N#Cc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,8.2,8.086186148
PBQPETHNIUHIBB-UHFFFAOYSA-N,COc1ccc(CC(=O)NS(=O)(=O)c2ccc(F)cc2)cc1,23450,4.629857153
UBLCGEZIPYNWGJ-UHFFFAOYSA-N,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)c5cccc(Cl)c5)CC4)c(C)c3)c2c1,210,6.677780705
DHEZMKZYJNFVFC-UHFFFAOYSA-N,COc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,2770,5.557520231
RKEVYIWMMZTIEB-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(Cl)cc1,3410,5.467245621
BZFPYVHUYNZICS-UHFFFAOYSA-N,COc1ccc(C2CC(c3ccc(Br)cc3)=NN2C2=NC(=O)CS2)cc1,9270,5.032920266
ZTFBIUXIQYRUNT-MDWZMJQESA-N,FC(F)(F)c1ccc(/C=C/c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1,350,6.455931956
ZFRQPCBLXWLNAT-UHFFFAOYSA-N,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sccc45)c(Cl)c3)c21,6,8.22184875
DVSGFQOBLRVWCK-NTEUORMPSA-N,CCOc1cc2ncc(C#N)c(Nc3cccc(OCc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,13200,4.879426069
RGUNUECSTMHJBW-UHFFFAOYSA-N,NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1ccc2ccccc2c1,3870,5.412289035
VJEUAMRGXUPVET-UHFFFAOYSA-N,Cc1ccc(C2CC(c3ccccc3)=NN2C2=NC(=O)CS2)cc1,4640,5.333482019
YNFCRDTVTDENKG-UHFFFAOYSA-N,NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23)CC1,26,7.585026652
IPBTVEGUKBCCDA-UHFFFAOYSA-N,NC(=S)N1N=C(c2ccccc2)CC1c1cccc2ccccc12,7240,5.140261434
PCAULTNLFAMHON-DHZHZOJOSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,25,7.602059991
QAWQPXUVEVTPDR-UHFFFAOYSA-N,CC(C)N(CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)C(C)C,36,7.443697499
PMNXVLOADVXDDY-UHFFFAOYSA-N,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)o1,26,7.585026652
UGQFOLZMNOEWLQ-UHFFFAOYSA-N,COc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,3010,5.521433504
AERGSELXAOHCKG-UHFFFAOYSA-N,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(C(F)(F)F)c5)cc4)c3c2)o1,360,6.443697499
QZMGOBDHHJBODW-UHFFFAOYSA-N,OCCSCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,9.4,8.026872146
AYUJWVQYAUDNQZ-UHFFFAOYSA-N,COC(=O)COCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,280,6.552841969
FQYOEBSXPQCDHZ-UHFFFAOYSA-N,O=C(Cc1cccc(Br)c1)NS(=O)(=O)c1ccc(Cl)cc1,23460,4.629671992
KJDFHCUXSFQUTK-UHFFFAOYSA-N,CS(=O)(=O)CCNC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,9,8.045757491
MHJBSGVISQZKDI-UHFFFAOYSA-N,OCCCCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,15,7.823908741
RJQSBCKLTGILQO-UHFFFAOYSA-N,CCOc1ccc(C2=NN(C(C)=O)C(c3ccc(C(=O)OC(C)Cn4c([N+](=O)[O-])cnc4C)cc3)C2)cc1,18120,4.741841807
BOFFROCKPXQEEH-DHZHZOJOSA-N,FC(F)(F)c1ccc(/C=C/c2nc(CNc3ccccc3)co2)cc1,5300,5.27572413
DQZBJDMUMWNFRX-UHFFFAOYSA-N,COc1ccc(CC(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1,37930,4.421017157
WOAVUZPOSJDYLY-JXMROGBWSA-N,COc1cc2ncc(C#N)c(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,75,7.124938737
QLLLIGGXRUNRDR-UHFFFAOYSA-N,[O-][S+]1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(F)c5)c4c3)o2)CC1,35,7.455931956
RSCOISQCBWSURO-UHFFFAOYSA-N,O=C1CSC(N2N=C(c3ccc(F)cc3)CC2c2ccccc2)=N1,10530,4.977571629
KPSPYNLYPZNCGV-DHZHZOJOSA-N,CCOc1cc2ncnc(Nc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,38,7.420216403
VWQGZWGCZQZISM-UHFFFAOYSA-N,O=C(CO)NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,120,6.920818754
LZOXKAMRMJSFJT-VMPITWQZSA-N,CCOc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCN(C)CC1,20,7.698970004
GAYUJMWHGBAPKD-UHFFFAOYSA-N,CCC(=O)Nc1cc2c(Nc3ccc4c(ccn4Cc4ccccc4)c3)ncnc2cc1OC,124,6.906578315
KVQIKILPEUOSQA-GESPGMLMSA-N,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/NCC(F)(F)F,20,7.698970004
WUQQSPODIZWQJL-FQEVSTJZSA-N,O=C(NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21)[C@@H]1CCCN1,0.92,9.036212173
OYSDICXGXOLSBP-RMKNXTFCSA-N,FC(F)(F)c1ccc(/C=C/c2nc(CNc3cccc(Br)c3)co2)cc1,230,6.638272164
XGESIFJYTSFXBI-JXMROGBWSA-N,COc1cc2ncc(C#N)c(Nc3ccc(NCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,13000,4.886056648
BAGAPPYMHWWPRR-UHFFFAOYSA-N,O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccc(Cl)cc1,7560,5.121478204
TZBDHYWZRVNCMC-UHFFFAOYSA-N,Cc1cc(C)c(O)c(CN(Cc2ccc(F)cc2)C(=S)Nc2ccccc2)c1,37820,4.422278475
MRDZXMOZCRVRBY-UHFFFAOYSA-N,NCCCCOCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,130,6.886056648
IARDESHMMYHYBU-UHFFFAOYSA-N,Nc1ccccc1C#Cc1cncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,91,7.040958608
YNMWGOALWIQVCJ-KGVSQERTSA-N,FC(F)(F)c1ccc(/C=C/c2nc(Cn3ccc4cc(-c5ccc(Br)cc5)ccc43)co2)cc1,4860,5.313363731
RRVAAWPXOPHXBC-DHZHZOJOSA-N,COc1ccccc1NCc1coc(/C=C/c2ccc(C(F)(F)F)cc2)n1,3070,5.512861625
FXRLTQRMUHOCQN-UHFFFAOYSA-N,Cn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,3.3,8.48148606
YSTSGFGNZVLCQE-VMLCMGRWSA-N,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1ccc2nccn2c1,6.42,8.192464972
XILHUDGNEDEXFJ-UHFFFAOYSA-N,CCC(=O)Nc1cc2c(Nc3ccc(NS(=O)(=O)c4ccccc4)cc3)ncnc2cc1OC,798,6.097997109
FYJXVEUHAIFPHG-UHFFFAOYSA-N,COc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)Nc5c(F)cccc5F)CC4)c(C)c3)c2c1,46,7.337242168
SOFMGJHORUKREC-UHFFFAOYSA-N,O=S(=O)(CCCCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)o1)c1ccccc1,38,7.420216403
OMZZFURLONVTAA-UHFFFAOYSA-N,COc1cc2ncnc(Nc3ccc(OC4CCN(C(=O)CC(C)(C)C)CC4)c(C)c3)c2cc1OC,100,7
NLZSXRKDMHPVOQ-UHFFFAOYSA-N,CN(C)C1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,110,6.958607315
YAWRCBHLRDCILP-DHZHZOJOSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(Sc4nc(-c5ccccc5)cs4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,13,7.886056648
DZKKEFRZQWTYHR-UHFFFAOYSA-N,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)ccc1OCCCO,9.3,8.031517051
WDJUUISIVREQHL-UHFFFAOYSA-N,NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,23,7.638272164
CZGCQVKQPNVWSZ-UHFFFAOYSA-N,COc1ccc(C2CC(c3ccccc3)=NN2C2=NC(=O)CS2)cc1,6210,5.2069084
FTYPOENSOIEBPX-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc5[nH]c(Cc6ccccc6)nc5c4)c23)c1,3.5,8.455931956
JQWZMXNLCJLCOJ-UHFFFAOYSA-N,c1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,3830,5.416801226
